round,case_id,complexity,tier,tier_name,status,precision_diagnostica,apego_guias,completitud,utilidad_clinica,composite,errores_graves,alucinaciones
v1,3,complejo,light,Light (llama8b-onco),success,0,0,0,0,0.0,"['No reconoce que el diagnóstico ya está establecido con citología positiva y panel molecular', 'No identifica osimertinib como tratamiento de primera línea estándar para EGFR del19', 'Sugiere biopsias múltiples e innecesarias de tejidos no relacionados (piel, músculo, grasa)', 'No reconoce la urgencia de iniciar tratamiento dirigido en un paciente sintomático ECOG 1']","['Biopsias de piel, músculo y tejido adiposo para estudio molecular en cáncer de pulmón', 'Repetición sin sentido de biopsias óseas y musculares múltiples', 'No existe indicación clínica para realizar 137+ biopsias en ningún escenario oncológico']"
v1,3,complejo,light_rag,Light+RAG (llama8b-onco + RAG),success,0,0,0,0,0.0,"['No reconoce mutación EGFR exón 19 como driver oncogénico que requiere terapia dirigida', 'Recomienda quimioterapia citotóxica en lugar de osimertinib como primera línea', 'Ignora completamente el estándar de tratamiento actual para EGFR mutado', ""Error tipográfico: 'cisplatino en combinación con cisplatino'""]","['Afirma que cisplatino controla el derrame pleural como objetivo primario', 'Sugiere que la evaluación de respuesta a cisplatino es clave cuando el tratamiento correcto es TKI']"
v1,3,complejo,basico_a,Básico A (MiniMax-M1 80K),success,3,2,2,3,2.45,"['Cita guías incorrectas (mesotelioma pleural y cáncer de mama en lugar de NSCLC)', 'No enfatiza que la inmunoterapia NO debe usarse como primera línea en EGFR mutado a pesar de PD-L1 30%']","['Cita guías de mesotelioma pleural maligno ESMO para adenocarcinoma pulmonar', 'Incluye Consenso de Cáncer de Mama México 2025 que no es relevante para cáncer pulmonar']"
v1,3,complejo,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No identifica que EGFR mutado requiere TKI como primera línea', 'No reconoce que osimertinib es el estándar de tratamiento', 'No proporciona ninguna respuesta clínica coherente', 'Falla total en responder la pregunta clínica']",[]
v1,3,complejo,premium,Premium (Sonnet 4.6),success,5,3,3,4,3.7,[],"['Afirma que deleción exón 19 representa ~45% de mutaciones sensibles a TKI, dato específico no respaldado por las guías proporcionadas']"
v1,4,moderado,light,Light (llama8b-onco),success,1,0,1,0,0.5,"['Proponer resección quirúrgica para SCLC con adenopatías mediastinales', 'No reconocer que el tratamiento estándar es quimiorradioterapia concurrente', 'Omitir completamente el esquema cisplatino+etopósido', 'No mencionar la irradiación craneal profiláctica']","['Afirmar que la resección quirúrgica es el abordaje estándar para SCLC hiliar con adenopatías', 'Sugerir que el PET-CT es obligatorio cuando ya se realizó y el caso pide tratamiento']"
v1,4,moderado,light_rag,Light+RAG (llama8b-onco + RAG),success,0,0,1,0,0.25,"['Recomendar cirugía como tratamiento primario en SCLC con enfermedad N2', 'No reconocer el diagnóstico de carcinoma de células pequeñas', 'No mencionar quimioterapia como piedra angular del tratamiento', 'No considerar radioterapia torácica concurrente']","['La cirugía es el pilar del tratamiento en esta etapa - falso para SCLC', 'Cita incorrecta de guía sobre tumores cerebrales infantiles para un caso de cáncer pulmonar en adulto']"
v1,4,moderado,basico_a,Básico A (MiniMax-M1 80K),success,4,3,2,3,3.0,"['Omisión de la irradiación craneal profiláctica (PCI), componente esencial del tratamiento estándar en CPCP con respuesta', 'No menciona que la cirugía NO es opción estándar en CPCP', 'Sugiere 4-6 ciclos cuando el estándar son 4 ciclos']",['Cita CMCM 2025 (consenso de cáncer de mama) como fuente para cáncer de pulmón de células pequeñas']
v1,4,moderado,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No se proporcionó respuesta clínica alguna', 'Falla total en identificar el caso como cáncer de células pequeñas en estadio limitado', 'No se mencionó el tratamiento estándar con cisplatino-etopósido']",[]
v1,4,moderado,premium,Premium (Sonnet 4.6),success,5,2,4,4,3.65,[],"['4-6 ciclos de quimioterapia cuando el estándar son 4 ciclos', '45-60 Gy de radioterapia torácica es un rango demasiado amplio sin especificar el estándar']"
v1,5,simple,light,Light (llama8b-onco),success,2,1,1,1,1.25,"['No especifica esquemas de quimioterapia adyuvante estándar', 'No menciona la duración del tratamiento', ""Usa lenguaje ambiguo ('considerar') cuando la indicación es clara"", 'No menciona evaluación de MSI/MMR']","[""CEA de 2.1 ng/mL como factor para 'toma de decisiones' - el CEA postoperatorio normal no modifica la indicación de adyuvancia en estadio IIIB""]"
v1,5,simple,light_rag,Light+RAG (llama8b-onco + RAG),success,1,0,0,0,0.25,"['Sugiere resección adicional de colon ascendente en paciente ya operado con hemicolectomía derecha y márgenes libres', 'No identifica la necesidad de quimioterapia adyuvante en cáncer estadio IIIB', 'Confunde el manejo postoperatorio con decisiones quirúrgicas primarias']","['Cita niveles de evidencia 2A (NCCN 2024) y 2B (ESMO) para resección de colon ascendente que no existen', 'Menciona colonoscopía virtual como alternativa cuando el paciente ya fue operado', 'Las guías IMSS citadas no contienen información sobre manejo adyuvante de cáncer de colon estadio III']"
v1,5,simple,basico_a,Básico A (MiniMax-M1 80K),success,5,3,2,3,3.25,"['No solicita estudio de MSI/MMR que es mandatorio en estadio III', 'No menciona la opción de 3 meses de quimioterapia según IDEA trial para T3N1']","['La recomendación uniforme de 6 meses sin mencionar IDEA es outdated', 'Las citas de guías NCCN 2024 y ESMO 2024 son genéricas sin números de versión específicos']"
v1,5,simple,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"[""Confusión grave sobre componentes de CAPOX (intentos de agregar '5-FUO' que no existe)"", 'Incapacidad total para proporcionar recomendaciones de tratamiento', 'No identificación del estadio IIIB ni sus implicaciones terapéuticas']","['5-FUO como componente de CAPOX', 'CMCM 2025 como guía de referencia']"
v1,5,simple,premium,Premium (Sonnet 4.6),success,5,2,3,4,3.4,"['No solicita estudio de inestabilidad de microsatélites (MSI/MMR) que es mandatorio en cáncer de colon estadio III', 'No menciona la opción de 3 meses de tratamiento con CAPOX que es estándar actual para T3N1']",[]
v1,6,complejo,light,Light (llama8b-onco),success,1,0,0,0,0.25,"['No proponer inmunoterapia como primera línea en tumor MSI-H/dMMR', 'No reconocer que MSI-H cambia completamente el paradigma de tratamiento', ""Inventar categoría de 'riesgo intermedio-alto' que no existe en este contexto"", 'No identificar la necesidad de consejería genética en paciente joven con dMMR']","[""Concepto de 'perfil de riesgo intermedio-alto' en tumores de colon sigmoides"", ""Afirmación sobre 'grupo de pacientes con tumores en colon sigmoides' sin base en guías""]"
v1,6,complejo,light_rag,Light+RAG (llama8b-onco + RAG),success,1,0,0,0,0.25,"['Recomendar quimioterapia citotóxica como primera línea en MSI-H/dMMR en lugar de inmunoterapia', 'No reconocer que MSI-H/dMMR predice excelente respuesta a inmunoterapia', 'Ignorar completamente las implicaciones del BRAF V600E', 'No mencionar la necesidad de evaluación genética en paciente joven con MSI-H']",['La guía IMSS-145GER recomienda oxaliplatino + irinotecán específicamente para MSI-H/dMMR (esta recomendación no existe o está mal interpretada)']
v1,6,complejo,basico_a,Básico A (MiniMax-M1 80K),success,4,3,2,3,3.0,"['Sugiere FOLFOX/FOLFIRI como opción de primera línea en MSI-H, contradiciendo las guías actuales', 'No menciona la evaluación genética obligatoria para síndrome de Lynch en paciente joven con MSI-H', 'Cita incorrectamente guías de cáncer de mama (CMCM 2025) para un caso de cáncer colorrectal']","['Afirma que MSI-H representa 15% del cáncer colorrectal esporádico (es ~19% según NCCN)', 'Cita guías ESMO sin haberlas consultado realmente', 'Menciona inhibidores de MEK cuando solo encorafenib+cetuximab está aprobado para BRAF V600E']"
v1,6,complejo,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No identifica que MSI-H/dMMR tiene prioridad sobre BRAF V600E para decisión terapéutica', 'No recomienda inmunoterapia como primera línea en MSI-H', 'Sugiere incorrectamente encorafenib + binimetinib + cetuximab como primera línea cuando debería ser pembrolizumab o nivolumab/ipilimumab', 'No proporciona ninguna respuesta estructurada ni recomendación clara']","[""Menciona repetitivamente 'encorafenib + binimetinib + cetuximab' sin contexto apropiado ni justificación para primera línea en MSI-H""]"
v1,6,complejo,premium,Premium (Sonnet 4.6),success,4,2,2,2,2.5,"['Recomienda FOLFOX/FOLFIRI como alternativa en tumores MSI-H, contraviniendo evidencia actual que muestra superioridad absoluta de inmunoterapia', 'No cita estudios fundamentales KEYNOTE-177 o CheckMate-8HW que cambiaron el paradigma de tratamiento', 'No especifica que pembrolizumab o nivolumab + ipilimumab son el estándar de oro actual']","['Afirma que MSI-H representa 19% de casos según NCCN sin especificar que se refiere a defectos somáticos', ""Menciona 'terapia dirigida anti-BRAF en combinación con quimioterapia' sin especificar el régimen exacto ni que esto sería segunda línea""]"
v1,7,simple,light,Light (llama8b-onco),success,2,1,1,1,1.25,"[""Recomendar vigilancia activa como 'opción preferente' en riesgo intermedio es incorrecto"", 'No identificar correctamente el grupo de riesgo intermedio favorable', 'Omitir completamente las opciones estándar de tratamiento curativo (prostatectomía, radioterapia)', ""Confundir 'márgenes negativos' con porcentaje de compromiso en cilindros de biopsia""]","[""Menciona 'biopsia transrectal con márgenes negativos' - los márgenes se evalúan en piezas quirúrgicas, no en biopsias"", 'Afirma que PI-RADS 4 y biopsia son criterios que apoyan vigilancia activa, cuando en realidad PI-RADS 4 indica lesión sospechosa']"
v1,7,simple,light_rag,Light+RAG (llama8b-onco + RAG),success,0,0,0,0,0.0,"['No reconoce que el paciente ya tiene diagnóstico histopatológico confirmado de adenocarcinoma', 'Afirma erróneamente que la biopsia transrectal está contraindicada con APE 8.5', 'No ofrece ninguna opción de tratamiento para un cáncer de próstata confirmado', 'Sugiere solo vigilancia de síntomas en lugar de tratamiento oncológico activo']","['La biopsia transrectal está contraindicada con APE 8.5 ng/mL', 'El paciente no debe ser biopsiado cuando ya tiene diagnóstico confirmado']"
v1,7,simple,basico_a,Básico A (MiniMax-M1 80K),success,3,2,2,2,2.25,"['Descarta incorrectamente la vigilancia activa para un paciente con cáncer de riesgo intermedio favorable', 'No reconoce la clasificación de riesgo intermedio favorable vs desfavorable', 'Cita erróneamente guías de cáncer de mama (CMCM 2025) para un caso de próstata']","[""Cita 'Consenso Cancer Mama Mexico 2025' como guía consultada para cáncer de próstata"", 'Afirma que la vigilancia activa no es adecuada sin considerar los criterios de riesgo intermedio favorable']"
v1,7,simple,basico_b,Básico B (GPT-oss 20B),success,2,1,2,2,1.7,"['Clasificación errónea como riesgo alto cuando es riesgo intermedio favorable', 'Excluye vigilancia activa como opción válida', 'Recomienda ADT de 6-12 meses sin considerar que en intermedio favorable es opcional y de 4-6 meses', 'Cita guía de cáncer de mama (CMCM 2025) para cáncer de próstata']","['CMCM 2025 (Consenso Cancer de la próstata) - es de mama, no próstata', 'Radioterapia bifásica con brachy como estándar', '70 Gy en 2-3 fases como esquema estándar', 'Glicéron como medicamento de ADT', 'PSA >0.2 ng/mL como criterio de seguimiento en paciente no tratado']"
v1,7,simple,premium,Premium (Sonnet 4.6),success,4,3,3,3,3.25,[],[]
v1,8,moderado,light,Light (llama8b-onco),success,1,0,0,0,0.25,"['No identifica el estadio correcto IIIC1', 'No menciona el tratamiento estándar de quimioradioterapia concurrente', 'No reconoce que es enfermedad localmente avanzada no quirúrgica', 'Omite completamente el plan terapéutico']","['Cita guía CMCM 2025 que no existe', ""Afirma que 'cumple criterios para tratamiento estándar' sin especificar cuál tratamiento""]"
v1,8,moderado,light_rag,Light+RAG (llama8b-onco + RAG),success,3,0,0,0,0.75,"['Indica cirugía radical como tratamiento primario en estadio IIIC1, cuando está contraindicada', 'No reconoce que el estadio IIIC1 es enfermedad localmente avanzada que requiere quimiorradioterapia', 'Omite completamente el tratamiento estándar con cisplatino y radioterapia']","['Afirma que el estadio FIGO IIIC1 es indicación de cirugía radical con intención curativa', 'Sugiere que la enfermedad pélvica bilateral justifica abordaje quirúrgico']"
v1,8,moderado,basico_a,Básico A (MiniMax-M1 80K),success,5,2,2,3,2.95,"['Omisión de pembrolizumab como parte del nuevo estándar de tratamiento según KEYNOTE-A18', 'Sugerencia de disección ganglionar pélvica y paraaórtica como parte del tratamiento, cuando no está indicada en enfermedad localmente avanzada', 'No menciona explícitamente que la cirugía radical NO es opción en estadio IIIC1']",['La disección de ganglios linfáticos pélvicos y paraaórticos puede ser considerada para una evaluación más precisa - esto no es parte del tratamiento estándar en enfermedad localmente avanzada']
v1,8,moderado,basico_b,Básico B (GPT-oss 20B),success,4,1,2,1,2.0,"['Recomienda cirugía radical como tratamiento primario para estadio IIIC1 (contraindicado)', 'No menciona quimioradioterapia concurrente como estándar de tratamiento', 'Dosis incorrecta de cisplatino (30 mg/m² cada 3 semanas vs 40 mg/m² semanal)', 'Confunde braquiterapia intracavitaria con braquiterapia vaginal', 'No menciona pembrolizumab (nuevo estándar desde KEYNOTE-A18)']","['URLs de PubMed incorrectas que no corresponden a las guías citadas', 'Cita IMSS 333GER del 2007 cuando existe versión más reciente', 'Menciona braquiterapia vaginal de 20 Gy para preservar mucosa (no es el tratamiento estándar)', 'Sugiere quimioterapia sin radioterapia como alternativa (no es estándar para IIIC1)']"
v1,8,moderado,premium,Premium (Sonnet 4.6),success,5,2,2,3,2.95,"['No menciona pembrolizumab que es parte del nuevo estándar de tratamiento según KEYNOTE-A18', 'No especifica cisplatino como la quimioterapia estándar', 'No enfatiza que la cirugía radical está contraindicada como tratamiento primario en estadio IIIC1']",[]
v1,9,moderado,light,Light (llama8b-onco),success,1,1,0,0,0.55,"['No identifica el tratamiento de primera línea para adenocarcinoma gástrico HER2+ metastásico', 'No menciona trastuzumab como componente esencial del tratamiento', 'No reconoce la importancia del PD-L1 CPS ≥1 para adicionar pembrolizumab', 'No especifica ningún régimen de quimioterapia concreto']",['Lista criterios genéricos (edad ≥50 años) que no son criterios específicos de las guías para iniciar tratamiento']
v1,9,moderado,light_rag,Light+RAG (llama8b-onco + RAG),success,0,1,0,0,0.3,"['Clasificar enfermedad metastásica como candidata a resección quirúrgica curativa', 'No reconocer las metástasis hepáticas en la TAC', ""Interpretar 'lesión ulcerada' como 'superficial' cuando la TAC muestra engrosamiento y metástasis"", 'No identificar que es un estadio IV que requiere tratamiento paliativo sistémico']","['La lesión es superficial - no hay información que apoye esto', 'El paciente cumple criterios para tratamiento con intención curativa - falso en presencia de metástasis']"
v1,9,moderado,basico_a,Básico A (MiniMax-M1 80K),success,4,2,2,3,2.7,"['No recomienda pembrolizumab en primera línea para HER2+ con CPS ≥1, omitiendo el estándar actual según KEYNOTE-811', 'Afirma incorrectamente que no hay evidencia suficiente para inmunoterapia en primera línea con HER2+']","[""Cita 'CMCM 2025' que no aparece en las guías de referencia proporcionadas""]"
v1,9,moderado,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No identifica el diagnóstico de adenocarcinoma gástrico metastásico', 'No reconoce la importancia de HER2+ y PD-L1 CPS 8 para el tratamiento', 'No menciona el esquema de triplete actual estándar', 'Respuesta completamente desorganizada e incoherente']","[""Múltiples repeticiones sin sentido sobre 'considerar immunotherapy if PD-L1'"", ""Confusión sobre si el PD-L1 es 'bajo' cuando CPS 8 es positivo"", ""Referencias vagas a 'clinical trials' sin especificar""]"
v1,9,moderado,premium,Premium (Sonnet 4.6),success,4,2,2,3,2.7,"['No recomienda el esquema triple con pembrolizumab que es el nuevo estándar para HER2+ con PD-L1 positivo', 'Indica CPS ≥5 como umbral cuando CPS ≥1 es suficiente en HER2+', 'No menciona T-DXd como opción de segunda línea']","['Afirma que el cáncer gástrico HER2+ representa 15-20% cuando las guías indican ~10-15%', 'Menciona que la enfermedad metastásica ocurre en ~40% al diagnóstico sin respaldo en las guías proporcionadas']"
v1,10,simple,light,Light (llama8b-onco),success,3,1,1,0,1.3,"['No proporciona ningún esquema de tratamiento específico', 'No menciona ABVD que es el estándar de oro', 'No especifica el enfoque PET-adapted', 'No menciona radioterapia de campo involucrado']","[""Menciona 'linfoma de Hodgkin clásico nodular' cuando el término correcto es 'esclerosis nodular'""]"
v1,10,simple,light_rag,Light+RAG (llama8b-onco + RAG),success,0,0,0,0,0.0,"['Confunde linfoma de Hodgkin con cáncer cervicouterino', 'Recomienda cirugía con intención curativa en lugar de quimioterapia sistémica', 'No reconoce que el tratamiento estándar es ABVD + radioterapia', 'Cita guías incorrectas (cáncer cervical en lugar de linfoma)']","['Cirugía con intención curativa como tratamiento estándar del linfoma de Hodgkin', 'Aplicación de guías de cáncer cervicouterino a un caso de linfoma']"
v1,10,simple,basico_a,Básico A (MiniMax-M1 80K),success,5,2,2,3,2.95,"['Recomienda 4 ciclos de ABVD como tratamiento completo sin radioterapia, cuando el estándar es 2 ciclos + ISRT 20 Gy', 'No menciona la estrategia PET-adaptada que es el estándar actual de tratamiento', 'Omite la discusión sobre preservación de fertilidad en una mujer joven']","['Afirma que se puede omitir la radioterapia después de 4 ciclos de ABVD con respuesta completa, lo cual no es el estándar para estadio IIA favorable', ""Referencias a 'CMCM 2025' que no existe en las guías proporcionadas""]"
v1,10,simple,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['Falla total en proporcionar una respuesta coherente al caso clínico', 'No identifica el diagnóstico ni la estadificación', 'No proporciona ningún plan de tratamiento estructurado']","[""La repetición obsesiva de 'ABVD' sin contexto ni estructura constituye una respuesta sin fundamento clínico""]"
v1,10,simple,premium,Premium (Sonnet 4.6),success,5,3,3,3,3.5,"['No menciona el enfoque PET-adapted que es el estándar actual para LH estadio inicial favorable', 'No especifica qué hacer si PET-2 es positivo']","['Menciona IFRT (radioterapia de campo involucrado) cuando el estándar actual es ISRT (radioterapia de sitio involucrado)', 'Sugiere tasas de curación >95% sin citar fuente específica']"
v1,11,complejo,light,Light (llama8b-onco),success,2,1,1,0,1.05,"['Confunde TKI (inhibidores de tirosina kinasa) con inhibidores BRAF - error conceptual grave', 'No menciona nivolumab+ipilimumab como primera línea para melanoma BRAF+ con metástasis cerebrales', 'No especifica el uso de SRS para las metástasis cerebrales', 'Sugiere combinaciones no estándar y potencialmente peligrosas']","[""Menciona 'TKI + BRAF V600E inhibidores' que no es una combinación reconocida en melanoma"", 'Las combinaciones sugeridas no corresponden a ningún protocolo estándar de NCCN']"
v1,11,complejo,light_rag,Light+RAG (llama8b-onco + RAG),success,2,1,1,1,1.25,"['No identifica el estadio IV M1d', 'No menciona la mutación BRAF V600E siendo crítica para decisiones terapéuticas', 'Llama oligomestastásica a enfermedad con múltiples órganos afectados', 'No propone ningún tratamiento específico']",['Enfermedad oligomestastásica - término incorrecto para múltiples metástasis en varios órganos']
v1,11,complejo,basico_a,Básico A (MiniMax-M1 80K),success,3,2,2,2,2.25,"['No prioriza ipilimumab+nivolumab como primera línea para metástasis cerebrales sintomáticas según evidencia actual', 'Sugiere WBRT como opción temprana cuando las guías recomiendan evitarla inicialmente', 'No aborda el manejo urgente de corticoesteroides para la hemiparesia']","[""Referencia a 'Consenso Cancer Mama Mexico 2025' que no es aplicable para melanoma"", ""No existe evidencia en las guías proporcionadas que respalde la elección del tratamiento basada en 'preferencia del paciente' entre opciones tan diferentes""]"
v1,11,complejo,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No proporciona diagnóstico ni estadificación', 'No menciona opciones terapéuticas apropiadas (nivolumab+ipilimumab, dabrafenib+trametinib)', 'Asociación incorrecta entre LDH elevada y riesgo de hemorragia como consideración principal', 'No aborda el manejo de metástasis cerebrales sintomáticas']",['LDH elevada como factor de riesgo principal de hemorragia (no es la interpretación clínica correcta - LDH es marcador pronóstico de carga tumoral)']
v1,11,complejo,premium,Premium (Sonnet 4.6),success,4,3,3,4,3.45,"['No prioriza inmunoterapia combinada (nivolumab + ipilimumab) como primera opción según evidencia actual para metástasis cerebrales', 'No menciona la importancia de minimizar corticosteroides que interfieren con inmunoterapia']",[]
v1,12,complejo,light,Light (llama8b-onco),success,1,0,0,0,0.25,"['Confunde cirugía de reducción de riesgo (profiláctica) con tratamiento de enfermedad activa', 'No reconoce la necesidad de quimioterapia neoadyuvante con PCI 18', 'Omite completamente el tratamiento sistémico en cáncer de ovario avanzado', 'No identifica la indicación de mantenimiento con olaparib en BRCA1+']","['Recomienda cirugía de reducción de riesgo en lugar de tratamiento oncológico activo', 'Cita inapropiadamente nivel de evidencia 2B de NCCN para un contexto incorrecto']"
v1,12,complejo,light_rag,Light+RAG (llama8b-onco + RAG),success,0,1,0,0,0.3,"['Diagnóstico erróneo de cáncer endometrial en lugar de cáncer de ovario', 'Recomendar cirugía primaria con PCI 18 (contraindicado por alta carga tumoral)', 'No reconocer la necesidad de quimioterapia neoadyuvante', 'Ignorar completamente la mutación BRCA1 y sus implicaciones terapéuticas']","['Menciona citología cérvico-vaginal como método diagnóstico para implantes peritoneales', 'Aplica guías de cáncer endometrial a un caso de cáncer de ovario']"
v1,12,complejo,basico_a,Básico A (MiniMax-M1 80K),success,3,2,2,2,2.25,"['Recomienda cirugía citorreductora primaria con PCI 18, cuando el estándar es quimioterapia neoadyuvante', 'No especifica la secuencia correcta de tratamiento: 3 ciclos neoadyuvantes + cirugía de intervalo + 3 ciclos adicionales']","['Las guías CMCM 2025 citadas no abordan específicamente el manejo del cáncer de ovario avanzado', 'La referencia a NCCN 2024 para cirugía primaria con PCI alto es incorrecta']"
v1,12,complejo,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['Falla completa en proporcionar cualquier recomendación de tratamiento', 'Incapacidad para reconocer un caso claro de cáncer de ovario avanzado', 'No identificación de la importancia clínica de la mutación BRCA1']",[]
v1,12,complejo,premium,Premium (Sonnet 4.6),success,4,2,3,4,3.15,[],"['Menciona mastectomía profiláctica bilateral sin contexto adecuado para un caso de cáncer de ovario activo - esto sería una consideración futura, no inmediata']"
v1,13,simple,light,Light (llama8b-onco),success,1,1,0,0,0.55,"['No establece el diagnóstico de carcinoma papilar pese a Bethesda VI', 'No recomienda tiroidectomía total para tumor >1cm con diagnóstico de malignidad', 'No menciona evaluación ganglionar ni estadificación', 'No proporciona ningún plan de manejo concreto']",['Referencia a guía CMCM 2025 que no corresponde con las guías estándar reconocidas internacionalmente']
v1,13,simple,light_rag,Light+RAG (llama8b-onco + RAG),success,2,2,1,1,1.55,"['No proporciona el plan de manejo quirúrgico para un carcinoma papilar confirmado', 'Omite completamente el tratamiento estándar (tiroidectomía total)', 'No menciona la evaluación postquirúrgica ni el seguimiento oncológico']",[]
v1,13,simple,basico_a,Básico A (MiniMax-M1 80K),success,4,2,2,2,2.5,"['No menciona la supresión de TSH con levotiroxina que es estándar en todos los casos', 'Sugiere gammagrafía con I-131 postoperatoria cuando esto no es el estándar actual', 'No estratifica el riesgo según criterios ATA para determinar necesidad de RAI']","[""Cita 'CMCM 2025' que no es una guía reconocida de cáncer tiroideo"", 'Menciona que el carcinoma papilar es más común en menores de 55 años cuando la incidencia aumenta con la edad']"
v1,13,simple,basico_b,Básico B (GPT-oss 20B),success,0,0,0,0,0.0,"['No se proporcionó respuesta clínica al caso', 'Ausencia total de plan diagnóstico-terapéutico', 'No se identificó el carcinoma papilar de tiroides confirmado por BAAF']",[]
